,Median,Mean (SD),95% CrI,MCSE,Probability,Median,Mean (SD),95% CrI,MCSE
Never,- ,- ,- ,- ,- ,- ,- ,- ,- 
1-2 t/Mon,0.98,0.98 (0.11),"(0.78, 1.19)",0.0018,57.86%,0.98,0.99 (0.06),"(0.87, 1.11)",0.0011
1-2 t/Week,0.84,0.84 (0.08),"(0.69, 0.99)",0.0014,97.79%,0.9,0.90 (0.05),"(0.80, 0.99)",0.0008
3-4 t/Week,0.86,0.86 (0.08),"(0.71, 1.02)",0.0014,95.92%,0.91,0.91 (0.05),"(0.82, 1.01)",0.0009
Daily,0.75,0.75 (0.05),"(0.67, 0.85)",0.0009,100.00%,0.85,0.85 (0.03),"(0.79, 0.91)",0.006
