"","Never","Mon1_2","Wek1_2","Wek3_4","Daily","p","test"
"   [0,18)"," 3691 (43.4) "," 1585 (45.0) "," 2276 (38.4) "," 1905 (34.2) "," 6300 (39.7) ","",""
"   [18,70)"," 2168 (25.5) "," 1190 (33.8) "," 1973 (33.3) "," 1726 (31.0) "," 5812 (36.6) ","",""
"   unknown"," 2649 (31.1) ","  747 (21.2) "," 1679 (28.3) "," 1932 (34.7) "," 3753 (23.7) ","",""
"DM_hist (%)"," "," "," "," ","","<0.001",""
"   FALSE"," 7185 (84.4) "," 2984 (84.7) "," 5058 (85.3) "," 4674 (84.0) ","12947 (81.6) ","",""
"   TRUE","  423 ( 5.0) ","  160 ( 4.5) ","  250 ( 4.2) ","  304 ( 5.5) "," 1228 ( 7.7) ","",""
"   unknown","  900 (10.6) ","  378 (10.7) ","  620 (10.5) ","  585 (10.5) "," 1690 (10.7) ","",""
"HT_hist (%)"," "," "," "," ",""," 0.039",""
"   FALSE"," 6188 (72.7) "," 2587 (73.5) "," 4375 (73.8) "," 4137 (74.4) ","11460 (72.2) ","",""
"   TRUE"," 1568 (18.4) ","  616 (17.5) "," 1013 (17.1) ","  937 (16.8) "," 2960 (18.7) ","",""
"   unknown","  752 ( 8.8) ","  319 ( 9.1) ","  540 ( 9.1) ","  489 ( 8.8) "," 1445 ( 9.1) ","",""
"KID_hist (%)"," "," "," "," ","","<0.001",""
"   FALSE"," 6187 (72.7) "," 2996 (85.1) "," 4531 (76.4) "," 4070 (73.2) ","12348 (77.8) ","",""
"   TRUE","  257 ( 3.0) ","  135 ( 3.8) ","  178 ( 3.0) ","  168 ( 3.0) ","  557 ( 3.5) ","",""
"   unknown"," 2064 (24.3) ","  391 (11.1) "," 1219 (20.6) "," 1325 (23.8) "," 2960 (18.7) ","",""
"LIV_hist (%)"," "," "," "," ","","<0.001",""
"   FALSE"," 5989 (70.4) "," 2924 (83.0) "," 4373 (73.8) "," 3963 (71.2) ","11853 (74.7) ","",""
"   TRUE","  495 ( 5.8) ","  223 ( 6.3) ","  356 ( 6.0) ","  300 ( 5.4) "," 1137 ( 7.2) ","",""
"   unknown"," 2024 (23.8) ","  375 (10.6) "," 1199 (20.2) "," 1300 (23.4) "," 2875 (18.1) ","",""
