"","Never","Mon1_2","Wek1_2","Wek3_4","Daily","p","test"
"   [0,18)"," 5181 (49.8) "," 1869 (51.3) "," 3270 (43.1) "," 3178 (39.2) ","11261 (44.6) ","",""
"   [18,70)"," 2073 (19.9) "," 1016 (27.9) "," 2263 (29.8) "," 2225 (27.4) "," 8588 (34.0) ","",""
"   unknown"," 3153 (30.3) ","  755 (20.7) "," 2057 (27.1) "," 2705 (33.4) "," 5405 (21.4) ","",""
"DM_hist (%)"," "," "," "," ","","<0.001",""
"   FALSE"," 9038 (86.8) "," 3094 (85.0) "," 6600 (87.0) "," 6943 (85.6) ","21148 (83.7) ","",""
"   TRUE","  269 ( 2.6) ","  115 ( 3.2) ","  206 ( 2.7) ","  219 ( 2.7) "," 1102 ( 4.4) ","",""
"   unknown"," 1100 (10.6) ","  431 (11.8) ","  784 (10.3) ","  946 (11.7) "," 3004 (11.9) ","",""
"HT_hist (%)"," "," "," "," ","","<0.001",""
"   FALSE"," 7312 (70.3) "," 2564 (70.4) "," 5522 (72.8) "," 5811 (71.7) ","17760 (70.3) ","",""
"   TRUE"," 2236 (21.5) ","  745 (20.5) "," 1446 (19.1) "," 1533 (18.9) "," 5058 (20.0) ","",""
"   unknown","  859 ( 8.3) ","  331 ( 9.1) ","  622 ( 8.2) ","  764 ( 9.4) "," 2436 ( 9.6) ","",""
"KID_hist (%)"," "," "," "," ","","<0.001",""
"   FALSE"," 7577 (72.8) "," 3065 (84.2) "," 5875 (77.4) "," 5842 (72.1) ","19507 (77.2) ","",""
"   TRUE","  371 ( 3.6) ","  142 ( 3.9) ","  280 ( 3.7) ","  298 ( 3.7) "," 1110 ( 4.4) ","",""
"   unknown"," 2459 (23.6) ","  433 (11.9) "," 1435 (18.9) "," 1968 (24.3) "," 4637 (18.4) ","",""
"LIV_hist (%)"," "," "," "," ","","<0.001",""
"   FALSE"," 7606 (73.1) "," 3048 (83.7) "," 5882 (77.5) "," 5849 (72.1) ","19449 (77.0) ","",""
"   TRUE","  365 ( 3.5) ","  178 ( 4.9) ","  295 ( 3.9) ","  320 ( 3.9) "," 1254 ( 5.0) ","",""
"   unknown"," 2436 (23.4) ","  414 (11.4) "," 1413 (18.6) "," 1939 (23.9) "," 4551 (18.0) ","",""
"Menopause = TRUE (%)"," 8213 (78.9) "," 2684 (73.7) "," 5408 (71.3) "," 5791 (71.4) ","20138 (79.7) ","<0.001",""
